kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Banyuresmi,2024,207.9414838035528,199,227.8358752458469,87.8281977310603,21.56192406486869,1998,95700,0.9310272239263496,-1.1572088847947524,0.7257861645626041,-0.2409796462110871,0.504292139317595,1,Sedang
Bayongbong,2024,44.11764705882353,48,225.87858394708584,87.2784706624978,20.45772191455622,2284,108800,-0.5929123042325879,-1.2695508194964569,0.0989765778975107,-0.9668895658896884,0.7417502803400549,1,Sedang
Bungbulang,2024,69.65174129353234,42,259.6225113768068,87.38369717952293,22.9403968212028,410,60300,-0.3553863355260839,0.667237074205594,0.2189579166647685,0.6652376144114053,-0.8141817346113082,0,Rendah
Caringin,2024,145.40059347181008,49,253.80469579289888,87.27258586306111,24.51794099103674,340,33700,0.3492526983345344,0.3333140353366954,0.0922666141473874,1.7023257610786982,-0.8723008600363859,2,Tinggi
Cibalong,2024,53.19148936170213,25,242.35472480632515,86.0796083649094,24.80205198243057,220,47000,-0.5085046427322397,-0.3238757727027626,-1.267989729919116,1.8891022375455675,-0.971933646479376,2,Tinggi
Cibatu,2024,194.83870967741936,151,236.84021931663767,86.89671744405693,21.962195161312845,1872,77500,0.8091412040642532,-0.6403898327339937,-0.3363059299926383,0.0221612645245219,0.3996777135524553,1,Sedang
Cibiuk,2024,56.60377358490566,21,232.83095210184297,86.85306308496251,22.0388327950398,1862,37100,-0.4767625292987971,-0.8705082805763033,-0.3860814865277277,0.0725433603457879,0.3913749813488728,1,Sedang
Cigedug,2024,21.45922746781116,10,251.00472879824687,87.30643738957816,20.05416829878214,1494,46600,-0.8036878662416712,0.1726053511059763,0.1308647886917517,-1.2321884269086358,0.0858344362570363,0,Rendah
Cihurip,2024,25.77319587628866,5,266.3995349727281,87.70257069522295,22.744878599497543,480,19400,-0.7635580102235159,1.0562154254437677,0.5825437540822849,0.5367026205485492,-0.7560626091862306,0,Rendah
Cikajang,2024,23.863636363636363,21,254.5228059892761,87.77945698024705,21.00140735312868,704,88000,-0.7813213179357947,0.3745311443286491,0.6702110044183349,-0.6094671021380325,-0.5700814078259823,0,Rendah
Cikelet,2024,83.15565031982942,39,243.097638458838,85.6753323641547,24.464680228658988,272,46900,-0.2297688359072533,-0.2812350287867027,-1.7289531559958184,1.6673117776982884,-0.9287594390207468,2,Tinggi
Cilawu,2024,268.788682581786,304,247.9439242049062,87.94103547569519,21.375718039900534,1456,113100,1.4970465117079073,-0.003074533629327,0.8544459743474185,-0.3633927393118897,0.0542840538834227,1,Sedang
Cisewu,2024,5.847953216374269,2,271.89420783440863,87.9171155637451,22.21344783845127,198,34200,-0.9489087229217962,1.3715911593597558,0.8271720215444278,0.1873364642186856,-0.9901996573272576,0,Rendah
Cisompet,2024,209.0909090909091,115,256.1034716414723,86.25709060604275,24.259309878139835,319,55000,0.941719530155248,0.4652560341785442,-1.065620997202184,1.5322999280949003,-0.8897365976639091,2,Tinggi
Cisurupan,2024,95.09803921568628,97,248.39098395048143,87.03988844783792,19.35747034740337,1261,102000,-0.1186770750214359,0.0225851915106982,-0.1730595431318708,-1.690202345630396,-0.1076192240864362,1,Sedang
